Title,Author,Category,Amazon URL
THE PERFECT DIVORCE,Jeneva Rose,Hardcover Fiction,https://www.amazon.com/dp/B0DGY5F5JX?tag=thenewyorktim-20
STRANGERS IN TIME,David Baldacci,Hardcover Fiction,https://www.amazon.com/dp/1538742055?tag=thenewyorktim-20
SAY YOU'LL REMEMBER ME,Abby Jimenez,Hardcover Fiction,https://www.amazon.com/dp/1538759195?tag=thenewyorktim-20
ONYX STORM,Rebecca Yarros,Hardcover Fiction,https://www.amazon.com/dp/1649374186?tag=thenewyorktim-20
IRON FLAME,Rebecca Yarros,Hardcover Fiction,https://www.amazon.com/dp/1649374178?tag=thenewyorktim-20
BROKEN COUNTRY,Clare Leslie Hall,Hardcover Fiction,https://www.amazon.com/dp/166807818X?tag=thenewyorktim-20
FIREBIRD,Juliette Cross,Hardcover Fiction,https://www.amazon.com/dp/1250339944?tag=thenewyorktim-20
THE WEDDING PEOPLE,Alison Espach,Hardcover Fiction,https://www.amazon.com/dp/1250899575?tag=thenewyorktim-20
THE WOMEN,Kristin Hannah,Hardcover Fiction,https://www.amazon.com/dp/1250178630?tag=thenewyorktim-20
SUMMER IN THE CITY,Alex Aster,Hardcover Fiction,https://www.amazon.com/dp/0063411660?tag=thenewyorktim-20
JAMES,Percival Everett,Hardcover Fiction,https://www.amazon.com/dp/0385550367?tag=thenewyorktim-20
FOURTH WING,Rebecca Yarros,Hardcover Fiction,https://www.amazon.com/dp/1649374046?tag=thenewyorktim-20
THE GOD OF THE WOODS,Liz Moore,Hardcover Fiction,https://www.amazon.com/dp/0593418913?tag=thenewyorktim-20
THE PERFECT MARRIAGE,Jeneva Rose,Hardcover Fiction,https://www.amazon.com/dp/B0D9KL1WJK?tag=thenewyorktim-20
LETHAL PREY,John Sandford,Hardcover Fiction,https://www.amazon.com/dp/0593718402?tag=thenewyorktim-20
ABUNDANCE,Ezra Klein and Derek Thompson,Hardcover Nonfiction,https://www.amazon.com/dp/1668023482?tag=thenewyorktim-20
EVERYTHING IS TUBERCULOSIS,John Green,Hardcover Nonfiction,https://www.amazon.com/dp/0525426051?tag=thenewyorktim-20
THE ANXIOUS GENERATION,Jonathan Haidt,Hardcover Nonfiction,https://www.amazon.com/dp/0593655036?tag=thenewyorktim-20
FAHRENHEIT-182,Mark Hoppus with Dan Ozzi,Hardcover Nonfiction,https://www.amazon.com/dp/0063318911?tag=thenewyorktim-20
FIGHT,Jonathan Allen and Amie Parnes,Hardcover Nonfiction,https://www.amazon.com/dp/006343864X?tag=thenewyorktim-20
ON DEMOCRACIES AND DEATH CULTS,Douglas Murray,Hardcover Nonfiction,https://www.amazon.com/dp/0063437139?tag=thenewyorktim-20
CARELESS PEOPLE,Sarah Wynn-Williams,Hardcover Nonfiction,https://www.amazon.com/dp/1250391237?tag=thenewyorktim-20
JOHN & PAUL,Ian Leslie,Hardcover Nonfiction,https://www.amazon.com/dp/1250869544?tag=thenewyorktim-20
OUTLIVE,Peter Attia with Bill Gifford,Hardcover Nonfiction,https://www.amazon.com/dp/0593236599?tag=thenewyorktim-20
WHO IS GOVERNMENT?,edited  Michael Lewis,Hardcover Nonfiction,https://www.amazon.com/dp/B0DHZ2ZXPM?tag=thenewyorktim-20
I AM MARIA,Maria Shriver,Hardcover Nonfiction,https://www.amazon.com/dp/0593653394?tag=thenewyorktim-20
UNCHARTED,Chris Whipple,Hardcover Nonfiction,https://www.amazon.com/dp/0063386216?tag=thenewyorktim-20
THE ECHO MACHINE,David Pakman,Hardcover Nonfiction,https://www.amazon.com/dp/0807016535?tag=thenewyorktim-20
THE SERVICEBERRY,Robin Wall Kimmerer,Hardcover Nonfiction,https://www.amazon.com/dp/1668072246?tag=thenewyorktim-20
"ONE DAY, EVERYONE WILL HAVE ALWAYS BEEN AGAINST THIS",Omar El Akkad,Hardcover Nonfiction,https://www.amazon.com/dp/0593804147?tag=thenewyorktim-20
THE PERFECT DIVORCE,Jeneva Rose,Combined Print And E Book Fiction,https://www.amazon.com/dp/B0DGY5F5JX?tag=thenewyorktim-20
STRANGERS IN TIME,David Baldacci,Combined Print And E Book Fiction,https://www.amazon.com/dp/1538742055?tag=thenewyorktim-20
WILD AND WRANGLED,Lyla Sage,Combined Print And E Book Fiction,https://www.amazon.com/dp/0593732472?tag=thenewyorktim-20
ONYX STORM,Rebecca Yarros,Combined Print And E Book Fiction,https://www.amazon.com/dp/1649374186?tag=thenewyorktim-20
SAY YOU'LL REMEMBER ME,Abby Jimenez,Combined Print And E Book Fiction,https://www.amazon.com/dp/1538759195?tag=thenewyorktim-20
FOURTH WING,Rebecca Yarros,Combined Print And E Book Fiction,https://www.amazon.com/dp/1649374046?tag=thenewyorktim-20
BROKEN COUNTRY,Clare Leslie Hall,Combined Print And E Book Fiction,https://www.amazon.com/dp/166807818X?tag=thenewyorktim-20
THE HOUSEMAID,Freida McFadden,Combined Print And E Book Fiction,https://www.amazon.com/dp/1538742578?tag=thenewyorktim-20
THE NIGHTINGALE,Kristin Hannah,Combined Print And E Book Fiction,http://www.amazon.com/The-Nightingale-Kristin-Hannah/dp/0312577222?tag=thenewyorktim-20
IRON FLAME,Rebecca Yarros,Combined Print And E Book Fiction,https://www.amazon.com/dp/1649374178?tag=thenewyorktim-20
THE PERFECT MARRIAGE,Jeneva Rose,Combined Print And E Book Fiction,https://www.amazon.com/dp/B0D9KL1WJK?tag=thenewyorktim-20
THE WEDDING PEOPLE,Alison Espach,Combined Print And E Book Fiction,https://www.amazon.com/dp/1250899575?tag=thenewyorktim-20
THE CRASH,Freida McFadden,Combined Print And E Book Fiction,https://www.amazon.com/dp/1464227322?tag=thenewyorktim-20
THE FROZEN RIVER,Ariel Lawhon,Combined Print And E Book Fiction,https://www.amazon.com/dp/0593312074?tag=thenewyorktim-20
LIGHTS OUT,Navessa Allen,Combined Print And E Book Fiction,https://www.amazon.com/dp/1638932239?tag=thenewyorktim-20
ABUNDANCE,Ezra Klein and Derek Thompson,Combined Print And E Book Nonfiction,https://www.amazon.com/dp/1668023482?tag=thenewyorktim-20
EVERYTHING IS TUBERCULOSIS,John Green,Combined Print And E Book Nonfiction,https://www.amazon.com/dp/0525426051?tag=thenewyorktim-20
THE ANXIOUS GENERATION,Jonathan Haidt,Combined Print And E Book Nonfiction,https://www.amazon.com/dp/0593655036?tag=thenewyorktim-20
ON TYRANNY,Timothy Snyder,Combined Print And E Book Nonfiction,https://www.amazon.com/Tyranny-Twenty-Lessons-Twentieth-Century/dp/0804190119?tag=thenewyorktim-20
FIGHT,Jonathan Allen and Amie Parnes,Combined Print And E Book Nonfiction,https://www.amazon.com/dp/006343864X?tag=thenewyorktim-20
FAHRENHEIT-182,Mark Hoppus with Dan Ozzi,Combined Print And E Book Nonfiction,https://www.amazon.com/dp/0063318911?tag=thenewyorktim-20
THE BODY KEEPS THE SCORE,Bessel van der Kolk,Combined Print And E Book Nonfiction,http://www.amazon.com/The-Body-Keeps-Score-Healing/dp/0670785938?tag=thenewyorktim-20
ON DEMOCRACIES AND DEATH CULTS,Douglas Murray,Combined Print And E Book Nonfiction,https://www.amazon.com/dp/0063437139?tag=thenewyorktim-20
CARELESS PEOPLE,Sarah Wynn-Williams,Combined Print And E Book Nonfiction,https://www.amazon.com/dp/1250391237?tag=thenewyorktim-20
JOHN & PAUL,Ian Leslie,Combined Print And E Book Nonfiction,https://www.amazon.com/dp/1250869544?tag=thenewyorktim-20
THE WAGER,David Grann,Combined Print And E Book Nonfiction,https://www.amazon.com/dp/0385534264?tag=thenewyorktim-20
WHO IS GOVERNMENT?,edited  Michael Lewis,Combined Print And E Book Nonfiction,https://www.amazon.com/dp/B0DHZ2ZXPM?tag=thenewyorktim-20
UNCHARTED,Chris Whipple,Combined Print And E Book Nonfiction,https://www.amazon.com/dp/0063386216?tag=thenewyorktim-20
OUTLIVE,Peter Attia with Bill Gifford,Combined Print And E Book Nonfiction,https://www.amazon.com/dp/0593236599?tag=thenewyorktim-20
THE TELL,Amy Griffin,Combined Print And E Book Nonfiction,https://www.amazon.com/dp/0593731204?tag=thenewyorktim-20
FULL PACKAGE,Lauren Blakely,E Book Fiction,https://www.amazon.com/Full-Package-Lauren-Blakely-ebook/dp/B01MT5HMRV?tag=thenewyorktim-20
THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY,Mary Ann Shaffer and Annie Barrows,E Book Fiction,http://www.amazon.com/Guernsey-Literary-Potato-Peel-Society/dp/0385340990?tag=thenewyorktim-20
THE WHISTLER,John Grisham,E Book Fiction,https://www.amazon.com/Whistler-John-Grisham-ebook/dp/B01C1LUFFK?tag=thenewyorktim-20
RING OF FIRE,Brad Taylor,E Book Fiction,https://www.amazon.com/Ring-Fire-Pike-Logan-Thriller/dp/1101984767?tag=thenewyorktim-20
SMALL GREAT THINGS,Jodi Picoult,E Book Fiction,http://www.amazon.com/Small-Great-Things-Jodi-Picoult-ebook/dp/B01AQNYZ3I?tag=thenewyorktim-20
SHELTER FOR ADELINE,Susan Stoker,E Book Fiction,https://www.amazon.com/Shelter-Adeline-Badge-Honor-Heroes-ebook/dp/B01MF62CN8?tag=thenewyorktim-20
A MAN CALLED OVE,Fredrik Backman,E Book Fiction,http://www.amazon.com/Man-Called-Ove-Novel/dp/1476738025?tag=thenewyorktim-20
THE MISTRESS,Danielle Steel,E Book Fiction,https://www.amazon.com/Mistress-Novel-Danielle-Steel-ebook/dp/B01E2GZ5FC?tag=thenewyorktim-20
THE GUESTS ON SOUTH BATTERY,Karen White,E Book Fiction,https://www.amazon.com/Guests-South-Battery-Tradd-Street/dp/0451475232?tag=thenewyorktim-20
NO MAN'S LAND,David Baldacci,E Book Fiction,https://www.amazon.com/No-Mans-Land-John-Puller/dp/145558651X?tag=thenewyorktim-20
BELOW THE BELT,Stuart Woods,E Book Fiction,https://www.amazon.com/Below-Belt-Stone-Barrington-Novel/dp/0399573976?tag=thenewyorktim-20
CROSS THE LINE,James Patterson,E Book Fiction,https://www.amazon.com/Cross-Line-James-Patterson-ebook/dp/B01C37XEUU?tag=thenewyorktim-20
THE DRY,Jane Harper,E Book Fiction,https://www.amazon.com/Dry-Novel-Jane-Harper-ebook/dp/B01BSN15F6?tag=thenewyorktim-20
A DOG'S PURPOSE,W Bruce Cameron,E Book Fiction,https://www.amazon.com/Dogs-Purpose-Novel-Humans/dp/0765330342?tag=thenewyorktim-20
THE SLEEPWALKER,Chris Bohjalian,E Book Fiction,https://www.amazon.com/Sleepwalker-Novel-Chris-Bohjalian-ebook/dp/B01FPGY5TK?tag=thenewyorktim-20
